"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1847,95,140,190,220,330,450,590,1600,11000
"GET categorypage",1851,47,61,82,92,120,180,310,1300,5800
"GET homepage",1845,27,33,38,46,76,88,110,160,8100
"POST login",927,74,89,100,110,160,200,310,3400,12000
"GET loginpage",927,25,30,37,46,72,93,410,900,4400
"GET logout",918,34,42,52,62,89,100,140,170,210
"GET productpage",1849,73,110,160,190,290,390,640,920,1400
"GET profile",921,42,54,74,85,110,170,880,990,7200
"Total",11085,58,77,91,100,190,290,480,930,12000
