"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",1839,0,100,179,39,11898,10620,7.67
"GET","categorypage",1842,0,52,104,19,6662,113139,7.69
"GET","homepage",1843,0,28,81,11,8110,8759,7.69
"POST","login",923,0,78,130,37,3390,9080,3.85
"GET","loginpage",925,0,25,55,10,5998,9653,3.86
"GET","logout",918,3,36,58,15,9130,8833,3.83
"GET","productpage",1841,0,82,143,32,8421,63001,7.68
"GET","profile",918,0,46,79,19,1318,9676,3.83
"None","Total",11049,3,62,111,10,11898,35692,46.10
