"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2040,82,96,120,130,200,280,420,670,16000
"GET categorypage",2043,45,53,63,74,110,160,270,820,6100
"GET homepage",2042,25,30,34,38,65,85,110,170,13000
"POST login",1023,69,77,86,95,130,180,220,3300,6300
"GET loginpage",1026,22,27,31,35,59,98,240,700,1300
"GET logout",1016,32,39,47,53,82,100,120,140,1600
"GET productpage",2041,66,79,96,110,180,270,580,830,1900
"GET profile",1019,38,46,57,68,96,120,180,680,1400
"Total",12250,52,68,78,86,120,190,300,680,16000
