"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2053,83,100,120,150,200,270,380,610,10000
"GET categorypage",2056,46,58,72,81,100,130,230,1000,9700
"GET homepage",2058,25,30,35,39,62,79,97,130,13000
"POST login",1032,71,82,91,99,120,170,210,630,3800
"GET loginpage",1033,23,29,34,38,60,79,110,190,1800
"GET logout",1025,33,40,49,56,83,98,120,150,220
"GET productpage",2055,67,82,100,110,170,230,360,600,9400
"GET profile",1025,39,49,63,72,93,110,190,330,2100
"Total",12337,53,69,80,88,120,180,280,460,13000
