"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",2083,9,82,125,26,13137,25868,8.71
"GET","categorypage",2086,0,45,76,23,3518,112523,8.72
"GET","homepage",2082,6,25,76,9,11601,8734,8.70
"POST","login",1045,0,69,121,33,13862,9080,4.37
"GET","loginpage",1045,1,22,52,9,10672,9643,4.37
"GET","logout",1037,0,31,49,15,10237,8862,4.34
"GET","productpage",2085,1,65,95,29,2070,108041,8.72
"GET","profile",1038,2,39,64,15,5349,9723,4.34
"None","Total",12501,19,52,86,9,13862,45669,52.26
