"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2118,81,96,110,120,180,230,370,590,8500
"GET categorypage",2122,45,55,66,75,100,120,230,580,6000
"GET homepage",2125,25,31,35,39,58,78,110,170,7600
"POST login",1062,71,80,90,97,120,150,200,3000,5900
"GET loginpage",1064,23,29,34,39,61,81,200,640,720
"GET logout",1058,31,38,46,53,79,97,120,130,200
"GET productpage",2119,64,78,92,100,160,210,400,630,5200
"GET profile",1058,38,47,60,69,92,130,210,300,1500
"Total",12726,52,67,77,85,110,170,270,490,8500
