"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",1847,0,100,159,41,9510,25882,7.72
"GET","categorypage",1852,2,55,108,22,8054,112066,7.74
"GET","homepage",1852,0,29,83,10,8719,8758,7.74
"POST","login",930,0,80,142,34,6488,9080,3.89
"GET","loginpage",930,0,27,56,9,8298,9653,3.89
"GET","logout",921,1,39,68,15,9922,8851,3.85
"GET","productpage",1850,2,84,136,30,16400,107408,7.73
"GET","profile",922,0,48,85,20,8510,9708,3.85
"None","Total",11104,5,63,110,9,16400,45461,46.42
