"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1818,95,120,160,190,260,370,510,1200,14000
"GET categorypage",1827,52,69,87,96,130,190,300,1400,12000
"GET homepage",1826,29,35,43,54,75,90,110,200,9000
"POST login",917,78,89,100,110,160,200,330,3400,6900
"GET loginpage",918,27,33,40,48,71,87,240,990,1100
"GET logout",908,35,45,54,64,93,110,120,160,12000
"GET productpage",1826,77,97,120,160,210,320,590,1300,11000
"GET profile",908,43,56,76,86,110,170,700,1200,1900
"Total",10948,61,79,91,100,170,220,400,990,14000
