"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",2056,0,77,118,34,5837,26282,8.57
"GET","categorypage",2061,0,43,81,20,8723,112117,8.59
"GET","homepage",2059,0,25,75,8,13195,8758,8.58
"POST","login",1031,0,69,142,35,8839,9080,4.30
"GET","loginpage",1032,0,22,39,9,978,9653,4.30
"GET","logout",1025,0,31,55,14,11591,8860,4.27
"GET","productpage",2058,1,61,100,28,7211,109007,8.58
"GET","profile",1026,0,37,74,17,11960,9730,4.28
"None","Total",12348,1,49,88,8,13195,45826,51.48
