"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1523,84,100,120,150,210,300,470,1300,11000
"GET categorypage",1526,46,58,74,85,110,150,380,1700,21000
"GET homepage",1526,26,32,38,44,70,86,100,220,39000
"POST login",766,74,84,95,100,130,180,260,3100,3900
"GET loginpage",767,24,29,34,39,66,91,140,870,2400
"GET logout",758,33,41,50,60,82,100,120,180,20000
"GET productpage",1525,66,83,98,110,180,250,560,940,10000
"GET profile",759,41,52,67,78,100,170,280,910,12000
"Total",9150,54,70,82,91,120,190,380,1300,39000
