"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",2035,2,81,118,28,9261,25748,8.49
"GET","categorypage",2039,2,45,98,19,10900,112503,8.50
"GET","homepage",2034,5,26,63,9,7586,8736,8.48
"POST","login",1021,0,71,111,37,3108,9080,4.26
"GET","loginpage",1021,0,22,56,8,12332,9653,4.26
"GET","logout",1012,1,32,61,15,10358,8851,4.22
"GET","productpage",2037,6,64,114,12,9250,106712,8.49
"GET","profile",1015,0,40,64,18,1395,9718,4.23
"None","Total",12214,16,52,90,8,12332,45430,50.93
