"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1686,110,190,240,290,400,530,710,1600,10000
"GET categorypage",1691,54,81,95,100,160,210,320,1100,8600
"GET homepage",1691,29,37,49,62,84,98,190,600,12000
"POST login",849,80,97,110,130,180,210,300,1100,2600
"GET loginpage",849,27,34,44,55,84,110,400,1200,15000
"GET logout",841,38,52,70,81,99,110,200,220,14000
"GET productpage",1690,87,150,200,240,360,460,620,760,7000
"GET profile",842,48,71,86,93,120,190,680,980,1500
"Total",10139,66,86,100,120,220,360,570,980,15000
