"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2071,80,93,110,120,190,250,360,530,11000
"GET categorypage",2074,44,52,62,74,100,160,260,470,7900
"GET homepage",2074,25,31,36,40,61,85,110,170,7600
"POST login",1037,71,81,90,97,130,160,250,3700,18000
"GET loginpage",1037,22,27,31,34,59,87,180,610,880
"GET logout",1033,33,40,46,53,80,98,120,160,250
"GET productpage",2072,64,76,91,100,170,240,410,900,2000
"GET profile",1034,38,46,55,67,92,120,200,620,4800
"Total",12432,52,67,77,85,120,180,290,560,18000
