"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2035,81,98,110,140,190,270,390,570,9300
"GET categorypage",2039,45,54,68,80,110,140,220,710,11000
"GET homepage",2034,26,32,37,42,66,80,100,150,7600
"POST login",1021,71,83,92,99,130,170,250,2200,3100
"GET loginpage",1021,22,27,32,38,63,83,220,410,12000
"GET logout",1012,32,40,47,56,83,99,120,130,10000
"GET productpage",2037,64,79,93,110,180,220,380,670,9300
"GET profile",1015,40,48,61,73,95,120,200,650,1400
"Total",12214,52,68,79,87,120,180,280,490,12000
