"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",1719,0,110,205,51,16202,10615,7.17
"GET","categorypage",1722,0,59,120,25,15352,112943,7.18
"GET","homepage",1722,0,32,95,12,8692,8757,7.18
"POST","login",864,1,83,160,43,7558,9069,3.60
"GET","loginpage",864,0,29,70,11,13639,9653,3.60
"GET","logout",858,0,40,53,17,259,8859,3.58
"GET","productpage",1719,0,87,152,37,1680,62794,7.17
"GET","profile",858,0,51,95,23,7460,9663,3.58
"None","Total",10326,1,69,127,11,16202,35621,43.08
