Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-07-30 18:17:38,51.0,2697.43,7940.33,37.9,17.72,1472.59,1368.66
2025-07-30 18:17:39,53.2,2677.14,7940.33,37.6,17.72,5333.83,4778.57
2025-07-30 18:17:40,22.6,2678.03,7940.33,37.6,17.72,6285.89,5426.07
2025-07-30 18:17:41,10.9,2678.96,7940.33,37.7,17.72,6504.77,5623.28
2025-07-30 18:17:42,29.8,2679.4,7940.33,37.7,17.72,8919.0,7936.09
2025-07-30 18:17:43,23.1,2677.4,7940.33,37.6,17.72,10094.28,9012.85
2025-07-30 18:17:44,15.1,2675.9,7940.33,37.6,17.72,10677.91,9493.51
2025-07-30 18:17:45,19.5,2676.09,7940.33,37.6,17.72,11346.79,10027.54
2025-07-30 18:17:46,12.6,2676.29,7940.33,37.6,17.72,11726.03,10335.03
2025-07-30 18:17:47,11.9,2676.25,7940.33,37.6,17.72,12210.24,10654.72
2025-07-30 18:17:48,5.4,2676.24,7940.33,37.6,17.72,12241.53,10685.69
2025-07-30 18:17:49,11.4,2673.7,7940.33,37.6,17.72,12284.18,10728.34
2025-07-30 18:17:50,3.6,2673.55,7940.33,37.6,17.72,12299.09,10742.97
2025-07-30 18:17:51,10.6,2673.77,7940.33,37.6,17.72,13199.02,11642.62
2025-07-30 18:17:52,3.3,2673.77,7940.33,37.6,17.72,13212.6,11654.96
2025-07-30 18:17:53,4.4,2673.77,7940.33,37.6,17.72,13243.99,11705.53
2025-07-30 18:17:54,6.7,2673.77,7940.33,37.6,17.72,13269.2,11730.44
2025-07-30 18:17:55,4.6,2667.35,7940.33,37.5,17.72,13295.99,11756.62
2025-07-30 18:17:56,4.4,2667.83,7940.33,37.5,17.72,13321.6,11780.72
2025-07-30 18:17:57,30.2,2674.69,7940.33,37.6,17.72,16378.5,14837.67
2025-07-30 18:17:58,19.3,2675.89,7940.33,37.6,17.72,18168.96,16627.89
2025-07-30 18:17:59,9.0,2671.6,7940.33,37.6,17.72,18211.51,16670.21
2025-07-30 18:18:00,9.5,2666.6,7940.33,37.5,17.72,18990.05,17448.17
2025-07-30 18:18:01,17.8,2666.82,7940.33,37.5,17.72,20653.09,19110.53
2025-07-30 18:18:02,3.8,2666.81,7940.33,37.5,17.72,20668.7,19125.12
2025-07-30 18:18:03,11.9,2666.81,7940.33,37.5,17.72,21497.98,19954.03
2025-07-30 18:18:04,5.1,2666.81,7940.33,37.5,17.72,21517.99,19973.95
2025-07-30 18:18:05,32.1,2673.21,7940.33,37.6,17.72,24685.91,23139.51
2025-07-30 18:18:06,11.4,2673.2,7940.33,37.6,17.72,25592.25,24045.37
2025-07-30 18:18:07,7.2,2673.2,7940.33,37.6,17.72,25783.66,24194.47
2025-07-30 18:18:08,11.3,2677.1,7940.33,37.6,17.72,26609.49,25020.24
