Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-07-30 18:42:26,44.2,2822.55,7940.33,39.5,17.72,557.8,472.01
2025-07-30 18:42:27,43.3,2844.09,7940.33,39.7,17.72,1543.26,1197.85
2025-07-30 18:42:28,58.3,2810.45,7940.33,39.3,17.72,7309.32,4904.79
2025-07-30 18:42:29,26.3,2807.16,7940.33,39.3,17.72,9235.43,6450.42
2025-07-30 18:42:30,29.2,2803.89,7940.33,39.2,17.72,10524.33,7337.11
2025-07-30 18:42:31,34.6,2801.04,7940.33,39.2,17.72,12473.67,8597.54
2025-07-30 18:42:32,21.4,2798.72,7940.33,39.2,17.72,13394.44,9253.3
2025-07-30 18:42:33,18.8,2796.49,7940.33,39.1,17.72,13947.93,9666.41
2025-07-30 18:42:34,25.4,2795.02,7940.33,39.1,17.72,15518.48,10721.97
2025-07-30 18:42:35,28.1,2785.01,7940.33,39.0,17.72,20376.2,14399.24
2025-07-30 18:42:36,36.9,2789.58,7940.33,39.0,17.72,24716.93,18058.65
2025-07-30 18:42:37,12.7,2787.22,7940.33,39.0,17.72,25674.22,18982.9
2025-07-30 18:42:38,6.5,2787.21,7940.33,39.0,17.72,25873.97,19119.79
2025-07-30 18:42:39,22.2,2791.85,7940.33,39.1,17.72,28382.99,21596.98
2025-07-30 18:42:40,7.0,2791.84,7940.33,39.1,17.72,28501.43,21683.14
2025-07-30 18:42:41,13.5,2792.56,7940.33,39.1,17.72,29483.08,22601.16
2025-07-30 18:42:42,6.4,2792.56,7940.33,39.1,17.72,29595.44,22681.18
2025-07-30 18:42:43,14.9,2792.88,7940.33,39.1,17.72,30517.88,23569.28
2025-07-30 18:42:44,21.8,2797.28,7940.33,39.1,17.72,33097.75,26086.15
2025-07-30 18:42:45,5.1,2797.27,7940.33,39.1,17.72,33204.74,26161.27
2025-07-30 18:42:46,6.2,2794.94,7940.33,39.1,17.72,33329.25,26254.11
2025-07-30 18:42:47,28.2,2795.86,7940.33,39.1,17.72,35911.1,28772.4
2025-07-30 18:42:48,13.4,2795.85,7940.33,39.1,17.72,36840.99,29669.47
2025-07-30 18:42:49,12.4,2799.58,7940.33,39.2,17.72,37046.47,29811.74
2025-07-30 18:42:50,18.1,2799.89,7940.33,39.2,17.72,38970.55,31701.66
2025-07-30 18:42:51,5.4,2799.89,7940.33,39.2,17.72,39154.0,31852.22
2025-07-30 18:42:52,11.9,2800.61,7940.33,39.2,17.72,40140.0,32775.56
2025-07-30 18:42:53,11.7,2800.84,7940.33,39.2,17.72,40395.8,32965.71
2025-07-30 18:42:54,9.7,2800.84,7940.33,39.2,17.72,40627.21,33122.89
2025-07-30 18:42:55,5.9,2797.09,7940.33,39.1,17.72,40810.88,33244.01
2025-07-30 18:42:56,6.2,2797.4,7940.33,39.1,17.72,40932.89,33333.62
