Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-07-30 18:19:19,49.0,2704.55,7940.33,38.0,17.72,637.48,540.61
2025-07-30 18:19:20,46.0,2702.87,7940.33,38.0,17.72,2124.94,1593.13
2025-07-30 18:19:21,26.0,2691.68,7940.33,37.8,17.72,3891.19,3037.83
2025-07-30 18:19:22,13.0,2691.05,7940.33,37.8,17.72,4160.25,3321.89
2025-07-30 18:19:23,16.7,2689.96,7940.33,37.8,17.72,4933.27,3912.99
2025-07-30 18:19:24,13.7,2688.8,7940.33,37.8,17.72,5249.96,4207.32
2025-07-30 18:19:25,17.6,2690.64,7940.33,37.8,17.72,5704.67,4567.22
2025-07-30 18:19:26,21.7,2692.03,7940.33,37.8,17.72,6466.19,5145.29
2025-07-30 18:19:27,25.6,2686.18,7940.33,37.7,17.72,9239.64,7835.62
2025-07-30 18:19:28,29.8,2691.3,7940.33,37.8,17.72,11974.22,10457.38
2025-07-30 18:19:29,7.4,2691.29,7940.33,37.8,17.72,12107.98,10559.83
2025-07-30 18:19:30,4.9,2691.29,7940.33,37.8,17.72,12147.89,10599.48
2025-07-30 18:19:31,20.8,2691.29,7940.33,37.8,17.72,14576.0,13029.45
2025-07-30 18:19:32,3.9,2691.29,7940.33,37.8,17.72,14602.75,13055.61
2025-07-30 18:19:33,11.6,2691.29,7940.33,37.8,17.72,15438.79,13890.44
2025-07-30 18:19:34,9.0,2691.78,7940.33,37.8,17.72,15473.43,13925.75
2025-07-30 18:19:35,15.5,2691.77,7940.33,37.8,17.72,17101.65,15554.3
2025-07-30 18:19:36,14.7,2691.99,7940.33,37.8,17.72,18711.72,17164.34
2025-07-30 18:19:37,5.4,2691.99,7940.33,37.8,17.72,18752.1,17205.16
2025-07-30 18:19:38,9.7,2692.73,7940.33,37.8,17.72,19452.43,17906.0
2025-07-30 18:19:39,24.8,2694.39,7940.33,37.8,17.72,21926.56,20380.42
2025-07-30 18:19:40,4.9,2694.63,7940.33,37.8,17.72,22055.17,20508.72
2025-07-30 18:19:41,4.3,2694.62,7940.33,37.8,17.72,22085.65,20538.97
2025-07-30 18:19:42,15.4,2695.33,7940.33,37.9,17.72,23915.12,22365.31
2025-07-30 18:19:43,4.1,2695.32,7940.33,37.9,17.72,23948.93,22399.11
2025-07-30 18:19:44,13.6,2695.56,7940.33,37.9,17.72,24775.54,23226.4
2025-07-30 18:19:45,4.4,2695.56,7940.33,37.9,17.72,24812.44,23263.62
2025-07-30 18:19:46,5.4,2695.56,7940.33,37.9,17.72,24824.84,23275.84
2025-07-30 18:19:47,6.4,2695.55,7940.33,37.9,17.72,24862.54,23313.89
2025-07-30 18:19:48,4.6,2695.55,7940.33,37.9,17.72,24896.76,23347.68
2025-07-30 18:19:49,10.5,2701.69,7940.33,37.9,17.72,24937.78,23388.01
