Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-07-30 18:20:58,69.7,2699.0,7940.33,37.9,17.72,3012.06,2803.54
2025-07-30 18:20:59,48.2,2724.17,7940.33,38.2,17.72,7117.59,6461.0
2025-07-30 18:21:00,20.2,2723.79,7940.33,38.2,17.72,8013.85,7093.38
2025-07-30 18:21:01,13.1,2718.35,7940.33,38.1,17.72,8277.53,7337.25
2025-07-30 18:21:02,31.8,2716.14,7940.33,38.1,17.72,11238.49,10192.53
2025-07-30 18:21:03,15.3,2711.55,7940.33,38.1,17.72,11734.03,10609.54
2025-07-30 18:21:04,18.4,2710.23,7940.33,38.0,17.72,12978.91,11786.0
2025-07-30 18:21:05,21.1,2708.71,7940.33,38.0,17.72,13681.65,12377.63
2025-07-30 18:21:06,20.9,2707.67,7940.33,38.0,17.72,15632.11,14198.14
2025-07-30 18:21:07,20.1,2709.23,7940.33,38.0,17.72,17595.02,16091.99
2025-07-30 18:21:08,4.1,2708.08,7940.33,38.0,17.72,17620.52,16117.36
2025-07-30 18:21:09,10.4,2707.79,7940.33,38.0,17.72,18317.12,16812.74
2025-07-30 18:21:10,21.7,2708.03,7940.33,38.0,17.72,20737.86,19233.4
2025-07-30 18:21:11,5.9,2708.02,7940.33,38.0,17.72,20904.09,19399.51
2025-07-30 18:21:12,5.6,2708.02,7940.33,38.0,17.72,20929.1,19423.38
2025-07-30 18:21:13,16.3,2708.23,7940.33,38.0,17.72,22765.35,21256.49
2025-07-30 18:21:14,5.1,2704.84,7940.33,38.0,17.72,22792.69,21283.74
2025-07-30 18:21:15,10.8,2705.41,7940.33,38.0,17.72,23610.52,22102.7
2025-07-30 18:21:16,4.4,2705.87,7940.33,38.0,17.72,23633.93,22125.81
2025-07-30 18:21:17,4.4,2705.87,7940.33,38.0,17.72,23655.86,22147.61
2025-07-30 18:21:18,4.1,2705.87,7940.33,38.0,17.72,23680.15,22171.64
2025-07-30 18:21:19,10.3,2720.98,7940.33,38.2,17.72,23714.85,22205.58
2025-07-30 18:21:20,4.8,2720.98,7940.33,38.2,17.72,23744.35,22234.86
2025-07-30 18:21:21,4.9,2720.98,7940.33,38.2,17.72,23850.38,22340.65
2025-07-30 18:21:22,13.3,2695.88,7940.33,37.9,17.72,25174.71,23376.82
2025-07-30 18:21:23,4.6,2696.7,7940.33,37.9,17.72,25200.31,23417.45
2025-07-30 18:21:24,5.9,2697.68,7940.33,37.9,17.72,25230.09,23446.68
2025-07-30 18:21:25,5.4,2697.68,7940.33,37.9,17.72,25249.38,23465.83
2025-07-30 18:21:26,4.1,2697.68,7940.33,37.9,17.72,25273.64,23489.74
2025-07-30 18:21:27,4.4,2697.68,7940.33,37.9,17.72,25296.11,23512.08
2025-07-30 18:21:28,18.2,2697.74,7940.33,37.9,17.72,27612.01,25827.86
