Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-07-30 18:53:13,55.7,2861.32,7940.33,40.0,17.72,3003.34,2942.14
2025-07-30 18:53:14,49.6,2894.0,7940.33,40.4,17.72,5398.21,4668.53
2025-07-30 18:53:15,67.7,2873.06,7940.33,40.1,17.72,12473.7,9822.72
2025-07-30 18:53:16,32.9,2868.87,7940.33,40.1,17.72,14888.02,11009.92
2025-07-30 18:53:17,42.4,2870.16,7940.33,40.1,17.72,17801.24,13194.44
2025-07-30 18:53:18,34.0,2864.88,7940.33,40.0,17.72,21118.85,15952.65
2025-07-30 18:53:19,34.3,2853.0,7940.33,39.9,17.72,23272.72,17637.71
2025-07-30 18:53:20,29.1,2854.38,7940.33,39.9,17.72,24468.94,18473.68
2025-07-30 18:53:21,58.2,2855.6,7940.33,39.9,17.72,33907.11,25270.19
2025-07-30 18:53:22,51.7,2840.6,7940.33,39.7,17.72,39997.29,29533.72
2025-07-30 18:53:23,31.7,2838.73,7940.33,39.7,17.72,41572.77,30557.22
2025-07-30 18:53:24,43.2,2838.54,7940.33,39.7,17.72,47134.14,34600.56
2025-07-30 18:53:25,15.4,2836.68,7940.33,39.7,17.72,47965.49,35147.71
2025-07-30 18:53:26,17.1,2834.37,7940.33,39.7,17.72,49131.21,36194.54
2025-07-30 18:53:27,11.5,2833.15,7940.33,39.6,17.72,49244.85,36295.07
2025-07-30 18:53:28,6.4,2831.96,7940.33,39.6,17.72,49363.09,36382.08
2025-07-30 18:53:29,14.5,2829.8,7940.33,39.6,17.72,49595.08,36549.85
2025-07-30 18:53:30,7.7,2821.38,7940.33,39.5,17.72,49734.33,36657.39
2025-07-30 18:53:31,5.9,2822.17,7940.33,39.5,17.72,49850.25,36743.56
2025-07-30 18:53:32,7.5,2822.16,7940.33,39.5,17.72,50059.02,36887.91
2025-07-30 18:53:33,13.6,2822.61,7940.33,39.5,17.72,50963.36,37760.74
2025-07-30 18:53:34,6.4,2822.82,7940.33,39.5,17.72,51088.51,37853.16
2025-07-30 18:53:35,8.7,2826.75,7940.33,39.6,17.72,51265.62,37967.83
2025-07-30 18:53:36,4.6,2826.74,7940.33,39.6,17.72,51303.0,38003.99
2025-07-30 18:53:37,6.4,2826.97,7940.33,39.6,17.72,51487.74,38124.73
2025-07-30 18:53:38,7.2,2826.96,7940.33,39.6,17.72,51605.61,38210.46
2025-07-30 18:53:39,13.5,2827.14,7940.33,39.6,17.72,52755.14,39328.36
2025-07-30 18:53:40,27.1,2837.93,7940.33,39.7,17.72,55803.52,42313.21
2025-07-30 18:53:41,13.0,2839.86,7940.33,39.7,17.72,56839.75,43312.3
2025-07-30 18:53:42,5.7,2839.86,7940.33,39.7,17.72,56953.33,43393.95
2025-07-30 18:53:43,24.0,2846.67,7940.33,39.8,17.72,59532.66,45910.5
