Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-07-30 18:47:20,46.5,2880.93,7940.33,40.2,17.72,747.75,520.63
2025-07-30 18:47:21,45.9,2898.45,7940.33,40.5,17.72,2741.65,2207.34
2025-07-30 18:47:22,70.7,2895.43,7940.33,40.4,17.72,10222.1,7456.41
2025-07-30 18:47:23,47.4,2875.04,7940.33,40.2,17.72,14074.73,10227.85
2025-07-30 18:47:24,37.3,2873.21,7940.33,40.1,17.72,15855.53,11446.7
2025-07-30 18:47:25,37.2,2868.76,7940.33,40.1,17.72,18167.14,12978.57
2025-07-30 18:47:26,26.3,2852.7,7940.33,39.9,17.72,19318.02,13732.54
2025-07-30 18:47:27,34.2,2834.19,7940.33,39.7,17.72,21340.17,15073.22
2025-07-30 18:47:28,37.1,2823.68,7940.33,39.5,17.72,26604.98,18369.79
2025-07-30 18:47:29,28.6,2822.64,7940.33,39.5,17.72,27810.69,19187.65
2025-07-30 18:47:30,52.5,2811.43,7940.33,39.4,17.72,33834.76,22994.91
2025-07-30 18:47:31,37.4,2812.28,7940.33,39.4,17.72,36641.82,25053.62
2025-07-30 18:47:32,21.1,2812.67,7940.33,39.4,17.72,37772.04,25751.55
2025-07-30 18:47:33,22.8,2812.62,7940.33,39.4,17.72,39102.05,26554.85
2025-07-30 18:47:34,21.6,2814.96,7940.33,39.4,17.72,40369.47,27331.97
2025-07-30 18:47:35,8.1,2814.94,7940.33,39.4,17.72,40459.09,27413.31
2025-07-30 18:47:36,6.9,2814.93,7940.33,39.4,17.72,40568.42,27489.25
2025-07-30 18:47:37,38.1,2817.6,7940.33,39.4,17.72,43954.38,30812.54
2025-07-30 18:47:38,16.4,2819.31,7940.33,39.5,17.72,45663.1,32489.01
2025-07-30 18:47:39,7.0,2819.3,7940.33,39.5,17.72,45870.85,32633.06
2025-07-30 18:47:40,10.6,2822.49,7940.33,39.5,17.72,46730.04,33460.45
2025-07-30 18:47:41,20.9,2822.7,7940.33,39.5,17.72,48486.12,35184.5
2025-07-30 18:47:42,13.8,2823.64,7940.33,39.5,17.72,49475.34,36110.2
2025-07-30 18:47:43,6.4,2823.63,7940.33,39.5,17.72,49601.62,36203.27
2025-07-30 18:47:44,5.6,2823.62,7940.33,39.5,17.72,49706.68,36276.55
2025-07-30 18:47:45,23.4,2826.56,7940.33,39.6,17.72,52264.29,38770.55
2025-07-30 18:47:46,15.0,2826.16,7940.33,39.6,17.72,53205.31,39680.0
2025-07-30 18:47:47,6.4,2826.39,7940.33,39.6,17.72,53318.14,39760.91
2025-07-30 18:47:48,15.9,2826.38,7940.33,39.6,17.72,54309.41,40688.88
2025-07-30 18:47:49,24.9,2821.7,7940.33,39.5,17.72,56830.21,43177.24
2025-07-30 18:47:50,5.9,2821.7,7940.33,39.5,17.72,56943.45,43257.5
