Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-07-31 08:53:19,57.4,2787.31,7940.33,39.0,17.73,547.08,314.99
2025-07-31 08:53:20,56.6,2827.07,7940.33,39.5,17.73,4682.08,3734.25
2025-07-31 08:53:21,33.5,2806.56,7940.33,39.3,17.73,7062.42,5279.85
2025-07-31 08:53:22,30.5,2780.68,7940.33,38.9,17.73,8282.39,6051.56
2025-07-31 08:53:23,32.8,2775.24,7940.33,38.9,17.73,9930.47,7478.46
2025-07-31 08:53:24,30.6,2766.91,7940.33,38.8,17.73,12179.27,9616.63
2025-07-31 08:53:25,21.4,2759.5,7940.33,38.7,17.73,12730.24,10040.94
2025-07-31 08:53:26,25.9,2755.73,7940.33,38.6,17.73,14824.17,12035.21
2025-07-31 08:53:27,26.4,2751.8,7940.33,38.6,17.73,16153.16,12958.29
2025-07-31 08:53:28,24.4,2750.5,7940.33,38.6,17.73,18336.13,14377.92
2025-07-31 08:53:29,11.4,2753.61,7940.33,38.6,17.73,18547.88,14525.53
2025-07-31 08:53:30,11.1,2751.53,7940.33,38.6,17.73,18667.2,14612.05
2025-07-31 08:53:31,17.2,2741.45,7940.33,38.4,17.73,20380.88,16295.6
2025-07-31 08:53:32,17.9,2741.39,7940.33,38.4,17.73,22184.96,18035.39
2025-07-31 08:53:33,12.2,2741.38,7940.33,38.4,17.73,23103.22,18920.55
2025-07-31 08:53:34,22.8,2753.52,7940.33,38.6,17.73,24816.57,20601.95
2025-07-31 08:53:35,14.7,2746.79,7940.33,38.5,17.73,25019.35,20741.33
2025-07-31 08:53:36,13.2,2745.38,7940.33,38.5,17.73,25940.84,21629.48
2025-07-31 08:53:37,32.0,2742.22,7940.33,38.4,17.73,28381.18,24038.43
2025-07-31 08:53:38,9.3,2743.4,7940.33,38.5,17.73,28660.98,24254.2
2025-07-31 08:53:39,5.9,2743.39,7940.33,38.5,17.73,28852.53,24412.67
2025-07-31 08:53:40,7.8,2744.32,7940.33,38.5,17.73,28978.18,24506.17
2025-07-31 08:53:41,19.6,2743.45,7940.33,38.5,17.73,30707.72,26171.75
2025-07-31 08:53:42,16.7,2743.86,7940.33,38.5,17.73,31938.37,27370.89
2025-07-31 08:53:43,11.1,2741.8,7940.33,38.4,17.73,32521.42,27953.78
2025-07-31 08:53:44,6.2,2741.8,7940.33,38.4,17.73,32548.92,27981.4
2025-07-31 08:53:45,6.4,2739.35,7940.33,38.4,17.73,32572.84,28005.13
2025-07-31 08:53:46,4.6,2739.84,7940.33,38.4,17.73,32597.02,28029.39
2025-07-31 08:53:47,4.4,2739.84,7940.33,38.4,17.73,32619.4,28051.66
2025-07-31 08:53:48,4.6,2739.84,7940.33,38.4,17.73,32646.87,28078.96
2025-07-31 08:53:49,11.1,2750.09,7940.33,38.5,17.73,32681.25,28112.07
