Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-07-30 18:32:47,58.1,2808.13,7940.33,39.3,17.72,2678.14,2428.86
2025-07-30 18:32:48,48.4,2799.1,7940.33,39.2,17.72,5311.67,4544.26
2025-07-30 18:32:49,43.0,2776.75,7940.33,38.9,17.72,8005.97,6341.18
2025-07-30 18:32:50,25.1,2754.23,7940.33,38.6,17.72,9175.55,6937.92
2025-07-30 18:32:51,22.8,2749.25,7940.33,38.5,17.72,10063.29,7642.93
2025-07-30 18:32:52,16.3,2747.32,7940.33,38.5,17.72,10646.01,8121.75
2025-07-30 18:32:53,17.1,2745.89,7940.33,38.5,17.72,11267.81,8639.56
2025-07-30 18:32:54,25.2,2744.7,7940.33,38.5,17.72,12694.22,9624.54
2025-07-30 18:32:55,13.4,2743.9,7940.33,38.5,17.72,13560.83,10191.7
2025-07-30 18:32:56,20.1,2746.71,7940.33,38.5,17.72,15533.42,11750.21
2025-07-30 18:32:57,5.9,2746.62,7940.33,38.5,17.72,15638.94,11823.14
2025-07-30 18:32:58,9.6,2746.49,7940.33,38.5,17.72,15766.4,11918.13
2025-07-30 18:32:59,6.4,2746.48,7940.33,38.5,17.72,15955.09,12044.76
2025-07-30 18:33:00,11.4,2749.42,7940.33,38.5,17.72,16095.66,12151.5
2025-07-30 18:33:01,5.9,2749.41,7940.33,38.5,17.72,16195.78,12219.38
2025-07-30 18:33:02,23.7,2740.84,7940.33,38.4,17.72,18639.14,14630.98
2025-07-30 18:33:03,18.1,2745.5,7940.33,38.5,17.72,20451.4,16379.27
2025-07-30 18:33:04,10.9,2746.42,7940.33,38.5,17.72,21417.6,17312.98
2025-07-30 18:33:05,16.1,2746.18,7940.33,38.5,17.72,22446.64,18276.95
2025-07-30 18:33:06,26.9,2747.23,7940.33,38.5,17.72,24959.52,20757.39
2025-07-30 18:33:07,7.5,2747.95,7940.33,38.5,17.72,25069.43,20834.77
2025-07-30 18:33:08,13.4,2748.17,7940.33,38.5,17.72,26071.69,21774.29
2025-07-30 18:33:09,5.9,2746.91,7940.33,38.5,17.72,26179.94,21850.63
2025-07-30 18:33:10,10.4,2747.12,7940.33,38.5,17.72,27011.81,22682.27
2025-07-30 18:33:11,26.3,2754.01,7940.33,38.6,17.72,29420.29,25090.52
2025-07-30 18:33:12,5.1,2746.13,7940.33,38.5,17.72,29450.42,25120.47
2025-07-30 18:33:13,4.9,2746.13,7940.33,38.5,17.72,29468.47,25137.38
2025-07-30 18:33:14,21.7,2746.35,7940.33,38.5,17.72,31870.64,27539.56
2025-07-30 18:33:15,8.5,2746.09,7940.33,38.5,17.72,32720.36,28390.7
2025-07-30 18:33:16,7.8,2746.09,7940.33,38.5,17.72,32845.5,28480.64
2025-07-30 18:33:17,21.4,2746.55,7940.33,38.5,17.72,34793.26,30378.78
