"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2135,77,88,99,110,160,200,280,420,1700
"GET categorypage",2139,43,50,56,62,89,110,190,970,12000
"GET homepage",2144,25,29,33,36,49,74,98,140,15000
"POST login",1071,71,80,87,93,110,130,190,320,2800
"GET loginpage",1076,22,27,30,32,45,64,110,790,2400
"GET logout",1068,30,36,41,45,64,87,110,130,3500
"GET productpage",2136,61,70,80,90,130,190,360,690,2200
"GET profile",1068,37,44,50,57,84,110,150,210,14000
"Total",12837,49,63,72,79,100,140,210,400,15000
