"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",1944,0,95,146,46,11332,26277,8.11
"GET","categorypage",1951,0,52,99,24,11763,112301,8.14
"GET","homepage",1946,7,28,71,11,10162,8727,8.12
"POST","login",977,0,77,108,36,10437,9080,4.08
"GET","loginpage",978,2,25,53,10,2390,9633,4.08
"GET","logout",968,1,36,61,15,11855,8852,4.04
"GET","productpage",1947,3,77,124,12,13531,108986,8.12
"GET","profile",970,0,43,93,18,14877,9735,4.05
"None","Total",11681,13,60,99,10,14877,45858,48.72
