"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",2064,0,83,117,36,3593,26277,8.61
"GET","categorypage",2074,4,46,80,17,5633,112319,8.65
"GET","homepage",2070,1,26,78,9,14006,8754,8.63
"POST","login",1040,1,74,129,32,8974,9072,4.34
"GET","loginpage",1040,0,23,37,9,1033,9653,4.34
"GET","logout",1030,0,32,53,12,12183,8861,4.30
"GET","productpage",2070,1,67,102,29,4677,109362,8.63
"GET","profile",1030,0,38,67,16,1695,9741,4.30
"None","Total",12418,7,51,87,9,14006,45927,51.80
