"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1901,87,110,140,170,240,320,530,1000,6000
"GET categorypage",1905,49,62,79,89,140,190,360,1200,13000
"GET homepage",1907,26,33,40,47,76,94,110,180,7400
"POST login",955,73,84,97,110,150,200,300,3800,5600
"GET loginpage",956,24,29,35,41,73,96,180,1100,4700
"GET logout",949,34,41,51,66,94,110,120,170,13000
"GET productpage",1903,69,88,110,140,210,330,600,1000,7800
"GET profile",950,42,56,75,83,110,170,290,400,1900
"Total",11426,56,73,86,97,150,210,390,860,13000
