"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1988,83,100,130,160,200,290,400,1200,15000
"GET categorypage",1992,45,58,75,87,110,140,250,1200,7000
"GET homepage",1992,25,31,38,45,71,85,110,150,8000
"POST login",1000,72,87,99,110,140,180,220,3200,11000
"GET loginpage",1000,23,28,35,39,63,90,280,790,900
"GET logout",991,32,41,54,64,86,98,110,130,220
"GET productpage",1992,68,87,110,120,180,230,490,990,2300
"GET profile",992,39,47,65,76,97,110,260,810,1300
"Total",11947,54,70,83,92,130,190,300,700,15000
