"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2028,83,100,120,130,190,260,410,780,13000
"GET categorypage",2033,46,55,65,75,98,120,220,1600,14000
"GET homepage",2031,25,31,35,39,62,81,100,140,8100
"POST login",1020,72,84,93,100,130,170,240,2300,3500
"GET loginpage",1020,24,29,33,37,59,81,250,800,940
"GET logout",1011,33,40,47,54,78,94,110,160,6000
"GET productpage",2032,64,78,94,100,170,210,470,940,2400
"GET profile",1011,39,49,63,73,91,110,580,710,1200
"Total",12186,52,68,78,87,110,180,290,700,14000
