"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",2078,4,83,118,21,7085,26027,8.69
"GET","categorypage",2082,0,45,88,22,12556,110091,8.70
"GET","homepage",2083,7,25,60,9,6958,8722,8.71
"POST","login",1044,0,71,131,36,11966,9080,4.36
"GET","loginpage",1044,1,23,57,9,4941,9600,4.36
"GET","logout",1036,0,32,42,14,288,8862,4.33
"GET","productpage",2080,0,65,99,25,4382,106808,8.69
"GET","profile",1038,0,38,72,18,7512,9755,4.34
"None","Total",12485,12,52,86,9,12556,45049,52.19
