"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1879,99,130,190,200,290,360,490,810,5400
"GET categorypage",1882,49,62,80,89,110,170,300,800,6100
"GET homepage",1883,27,33,42,52,77,98,180,270,10000
"POST login",946,75,90,100,110,160,190,290,3400,6900
"GET loginpage",946,25,31,38,48,74,110,300,540,1100
"GET logout",937,35,45,58,71,94,110,190,210,13000
"GET productpage",1880,77,110,150,180,270,380,490,670,14000
"GET profile",938,43,59,76,84,100,130,250,650,1400
"Total",11291,60,79,93,100,180,270,390,610,14000
