"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1944,95,110,130,150,210,300,490,770,11000
"GET categorypage",1951,52,60,73,82,110,170,280,510,12000
"GET homepage",1946,28,34,40,45,71,86,110,160,10000
"POST login",977,77,89,100,110,140,190,260,350,10000
"GET loginpage",978,25,30,35,40,67,90,260,650,2400
"GET logout",968,36,44,54,66,90,110,160,190,12000
"GET productpage",1947,77,90,110,120,180,270,470,880,14000
"GET profile",970,43,52,64,74,100,140,290,870,15000
"Total",11681,60,77,89,96,130,200,320,620,15000
