"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1682,110,170,200,230,370,500,770,1000,17000
"GET categorypage",1688,56,77,91,100,140,220,330,800,11000
"GET homepage",1685,29,37,48,60,83,110,180,310,13000
"POST login",845,78,93,110,120,180,220,330,1400,17000
"GET loginpage",845,27,34,43,52,90,140,530,1100,1500
"GET logout",839,39,48,60,72,92,110,190,270,10000
"GET productpage",1686,87,130,180,200,300,430,680,800,17000
"GET profile",841,48,71,85,94,130,200,520,900,12000
"Total",10111,65,85,100,120,200,300,580,840,17000
