"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",1796,2,98,193,44,16529,10606,7.49
"GET","categorypage",1800,0,51,115,21,7139,113609,7.50
"GET","homepage",1798,0,28,84,10,8412,8758,7.49
"POST","login",902,0,77,144,37,6128,9080,3.76
"GET","loginpage",903,0,26,46,10,802,9653,3.76
"GET","logout",895,0,35,49,15,865,8860,3.73
"GET","productpage",1799,0,76,143,32,10067,63365,7.50
"GET","profile",896,0,45,90,19,9429,9671,3.73
"None","Total",10789,2,60,117,10,16529,35850,44.96
