"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1668,120,180,210,260,380,500,700,1500,16000
"GET categorypage",1671,64,81,95,100,160,220,480,1100,6900
"GET homepage",1670,32,39,47,57,83,100,180,310,8400
"POST login",838,86,98,110,120,170,200,370,3200,7800
"GET loginpage",838,31,37,44,54,81,110,420,800,1100
"GET logout",831,45,58,70,79,98,110,190,220,13000
"GET productpage",1670,99,140,190,210,300,400,600,1300,13000
"GET profile",833,59,73,87,95,120,180,900,1200,3000
"Total",10019,73,94,110,130,210,320,530,1100,16000
