"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",1916,0,95,162,44,17826,25751,8.00
"GET","categorypage",1922,4,52,95,17,5981,111706,8.02
"GET","homepage",1917,6,27,81,10,16154,8730,8.00
"POST","login",961,0,77,141,37,15552,9080,4.01
"GET","loginpage",962,0,24,47,9,4306,9653,4.02
"GET","logout",954,1,35,52,15,5656,8850,3.98
"GET","productpage",1921,0,77,123,32,6150,106475,8.02
"GET","profile",956,1,44,68,19,1704,9694,3.99
"None","Total",11509,12,61,102,9,17826,45272,48.05
