"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1946,90,120,170,190,280,380,520,1000,8500
"GET categorypage",1948,47,58,77,86,110,160,300,1200,15000
"GET homepage",1946,25,31,36,42,73,89,110,200,13000
"POST login",977,73,86,100,110,160,190,300,790,13000
"GET loginpage",978,24,29,33,38,66,94,260,400,900
"GET logout",968,32,40,47,57,83,98,160,200,9100
"GET productpage",1947,71,100,140,170,240,310,490,690,1600
"GET profile",970,40,54,70,78,98,150,260,490,1300
"Total",11680,56,74,87,98,170,250,390,590,15000
