"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2009,82,96,110,130,190,260,370,610,14000
"GET categorypage",2016,45,55,67,78,100,130,220,400,8200
"GET homepage",2012,25,30,35,38,61,81,96,130,8300
"POST login",1011,72,82,90,99,130,180,260,3300,9000
"GET loginpage",1011,24,29,32,35,55,79,220,870,9300
"GET logout",1001,32,39,45,52,77,97,110,120,16000
"GET productpage",2014,65,80,95,110,170,210,320,630,1900
"GET profile",1001,39,47,58,70,93,110,200,1000,13000
"Total",12075,52,68,78,86,120,180,280,600,16000
