"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",1968,3,78,145,13,11641,26118,8.20
"GET","categorypage",1969,0,45,89,20,8592,111255,8.21
"GET","homepage",1971,0,25,80,9,8814,8758,8.21
"POST","login",988,0,70,141,32,12667,9080,4.12
"GET","loginpage",989,0,23,45,9,3628,9653,4.12
"GET","logout",980,0,32,52,13,7677,8861,4.08
"GET","productpage",1971,2,63,112,13,2260,107764,8.21
"GET","profile",981,0,38,75,17,6409,9745,4.09
"None","Total",11817,5,52,97,9,12667,45433,49.25
