"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2080,83,95,110,120,180,210,300,410,8900
"GET categorypage",2082,46,53,62,72,94,110,190,1300,9800
"GET homepage",2085,25,30,34,37,52,73,92,120,7000
"POST login",1043,72,80,88,94,120,160,270,3300,13000
"GET loginpage",1044,22,27,31,34,46,72,110,850,4700
"GET logout",1038,33,39,44,50,75,95,110,140,14000
"GET productpage",2081,66,77,91,100,150,190,370,650,9300
"GET profile",1039,39,48,55,64,89,110,260,670,7900
"Total",12492,52,68,77,85,110,160,250,490,14000
