"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2064,83,97,110,130,200,290,390,510,3600
"GET categorypage",2074,46,54,63,73,100,160,260,400,5600
"GET homepage",2070,26,32,37,41,61,79,100,120,14000
"POST login",1040,74,84,92,99,130,170,270,3400,9000
"GET loginpage",1040,23,28,33,35,52,81,120,480,1000
"GET logout",1030,32,39,45,49,78,100,130,170,12000
"GET productpage",2070,67,78,91,100,170,240,360,680,4700
"GET profile",1030,38,47,57,67,100,150,260,900,1700
"Total",12418,51,67,78,86,120,180,300,480,14000
