"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",1859,0,99,168,36,18759,25763,7.76
"GET","categorypage",1863,2,54,90,20,5534,112651,7.77
"GET","homepage",1868,2,29,94,10,16517,8749,7.79
"POST","login",938,1,78,160,31,9627,9070,3.91
"GET","loginpage",938,0,27,47,10,1309,9653,3.91
"GET","logout",929,0,38,65,15,15959,8862,3.88
"GET","productpage",1861,1,82,123,29,4993,107453,7.76
"GET","profile",929,0,47,79,19,5095,9700,3.88
"None","Total",11185,6,61,109,10,18759,45497,46.66
