"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2126,78,90,100,110,180,220,360,490,16000
"GET categorypage",2139,44,53,61,70,99,130,230,710,8000
"GET homepage",2140,25,30,34,38,63,80,100,140,8100
"POST login",1071,70,80,87,93,120,160,210,1100,2600
"GET loginpage",1074,22,26,30,34,58,82,110,590,7400
"GET logout",1066,32,38,44,48,82,97,110,130,2200
"GET productpage",2139,62,72,83,95,150,200,390,600,5600
"GET profile",1067,38,45,55,68,96,110,180,210,1700
"Total",12822,50,65,75,82,110,160,270,470,16000
