"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",2061,2,83,119,41,5655,26215,8.61
"GET","categorypage",2063,0,45,76,18,8076,112328,8.62
"GET","homepage",2065,1,25,73,9,13137,8754,8.62
"POST","login",1033,0,70,149,33,9063,9080,4.31
"GET","loginpage",1036,0,22,38,9,713,9653,4.33
"GET","logout",1028,0,32,65,15,13665,8861,4.29
"GET","productpage",2063,0,65,100,32,13146,108912,8.62
"GET","profile",1030,0,39,65,16,1586,9748,4.30
"None","Total",12379,3,51,88,9,13665,45808,51.70
