"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2090,78,89,100,110,190,280,470,970,13000
"GET categorypage",2091,43,50,58,69,100,160,260,500,6700
"GET homepage",2091,25,31,35,38,60,80,110,140,7800
"POST login",1047,68,77,85,91,120,170,280,2900,5900
"GET loginpage",1049,21,26,30,33,52,89,270,860,2100
"GET logout",1041,31,37,43,47,77,99,130,150,200
"GET productpage",2090,61,70,81,92,170,250,510,720,6900
"GET profile",1042,36,43,49,56,94,140,240,700,1200
"Total",12541,50,64,73,80,110,180,300,620,13000
