teastore-auth-5896899dbb-hx7k8,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,True
teastore-db-584d49598b-85cdf,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,True
teastore-image-85cc9866c5-mg59l,test-worker-2,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,False
teastore-persistence-76979ffb5b-ln4fp,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,True
teastore-recommender-7d5565cb5-v8zdn,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:22+00:00,0:00:03,True
teastore-registry-6ccff44d5d-x7n2l,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,True
teastore-webui-548f9f56d8-885px,test-worker-2,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,False
total,total,2023-12-12 19:09:19,2023-12-12 19:09:21.142857,1970-01-01 00:00:02.142857,0.7142857142857143
teastore-auth-5896899dbb-hx7k8,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,True
teastore-db-584d49598b-85cdf,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,True
teastore-image-85cc9866c5-mg59l,test-worker-2,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,False
teastore-persistence-76979ffb5b-ln4fp,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,True
teastore-recommender-7d5565cb5-v8zdn,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:22+00:00,0:00:03,True
teastore-registry-6ccff44d5d-x7n2l,test-worker-1,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,True
teastore-webui-548f9f56d8-885px,test-worker-2,2023-12-12 19:09:19+00:00,2023-12-12 19:09:21+00:00,0:00:02,False
total,total,2023-12-12 19:09:19,2023-12-12 19:09:21.142857,1970-01-01 00:00:02.142857,0.7142857142857143
teastore-auth-5896899dbb-6hx6m,test-worker-2,2023-12-12 19:16:41+00:00,2023-12-12 19:16:44+00:00,0:00:03,False
