"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",2058,7,80,127,37,12327,25632,8.59
"GET","categorypage",2063,2,44,74,21,11148,111858,8.61
"GET","homepage",2063,6,24,65,9,7280,8733,8.61
"POST","login",1033,3,70,139,32,13327,9056,4.31
"GET","loginpage",1033,0,22,47,9,8622,9653,4.31
"GET","logout",1026,0,32,59,15,11086,8861,4.28
"GET","productpage",2060,1,64,105,30,11322,106480,8.60
"GET","profile",1028,0,38,68,17,10212,9715,4.29
"None","Total",12364,19,51,88,9,13327,45235,51.60
