"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1996,84,110,130,150,200,280,420,760,7900
"GET categorypage",2000,45,57,72,83,110,150,280,880,6800
"GET homepage",1997,25,32,37,43,68,86,110,260,14000
"POST login",1000,73,86,99,110,130,170,280,3300,8500
"GET loginpage",1000,24,30,35,40,65,82,250,960,6300
"GET logout",996,33,41,49,56,83,97,120,180,11000
"GET productpage",1996,65,84,100,120,180,230,470,790,10000
"GET profile",996,39,50,68,77,97,130,600,900,1200
"Total",11981,53,69,82,92,130,190,310,680,14000
