"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2091,83,94,100,110,170,220,340,590,14000
"GET categorypage",2095,45,51,58,64,92,120,200,350,6900
"GET homepage",2093,25,30,33,36,51,75,100,150,12000
"POST login",1049,69,76,84,91,120,170,240,2800,8200
"GET loginpage",1051,22,26,30,32,46,73,92,560,1100
"GET logout",1041,31,37,43,47,66,92,120,170,2300
"GET productpage",2093,66,76,84,92,140,190,380,710,2300
"GET profile",1043,39,46,53,60,89,110,200,830,1400
"Total",12556,50,66,75,82,110,160,240,560,14000
