"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1904,93,110,120,140,210,300,450,640,3000
"GET categorypage",1906,50,58,68,79,110,190,300,610,12000
"GET homepage",1906,27,32,37,41,68,84,120,160,12000
"POST login",955,74,85,96,100,130,180,280,2600,11000
"GET loginpage",956,25,30,35,39,66,89,140,910,2200
"GET logout",949,34,41,48,56,83,98,140,190,13000
"GET productpage",1906,75,89,100,120,190,290,490,780,10000
"GET profile",950,43,51,63,72,100,130,280,670,13000
"Total",11432,56,74,86,94,130,200,360,650,13000
