"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1957,90,110,150,180,270,350,530,1100,12000
"GET categorypage",1963,48,59,73,86,110,190,300,1300,6200
"GET homepage",1959,26,32,37,43,72,91,130,230,10000
"POST login",983,73,84,94,110,150,190,290,3200,3200
"GET loginpage",983,24,29,33,38,71,100,370,850,880
"GET logout",975,32,40,48,56,89,110,150,270,15000
"GET productpage",1962,70,91,120,150,230,310,490,680,1400
"GET profile",976,41,50,62,77,100,160,260,530,7900
"Total",11758,56,73,86,96,160,240,390,680,15000
