"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1884,93,130,180,210,300,400,500,760,11000
"GET categorypage",1888,47,62,78,88,110,170,290,570,12000
"GET homepage",1889,26,33,39,46,75,91,150,220,7600
"POST login",945,74,87,99,110,150,190,290,1100,12000
"GET loginpage",949,24,29,35,40,69,100,510,890,12000
"GET logout",940,34,40,49,60,88,100,130,170,12000
"GET productpage",1886,73,110,150,180,270,360,480,570,6400
"GET profile",941,40,54,69,80,100,140,310,650,14000
"Total",11322,57,75,89,100,180,270,410,570,14000
