"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","addtocart",1779,0,110,184,48,17307,25605,7.43
"GET","categorypage",1780,0,58,123,24,13655,112443,7.44
"GET","homepage",1780,0,30,105,9,9642,8759,7.44
"POST","login",893,0,82,129,42,3231,9080,3.73
"GET","loginpage",894,0,28,52,10,1390,9653,3.74
"GET","logout",886,0,38,52,15,275,8863,3.70
"GET","productpage",1780,2,86,141,34,10692,106489,7.44
"GET","profile",886,2,49,89,21,4294,9718,3.70
"None","Total",10678,4,68,119,9,17307,45331,44.62
